first_name,last_name,email,job_title,city,country
Mabelle,Lawther,mlawther0@sciencedirect.com,Analytics Team Manager,Milwaukee,United States
Paulie,Hutcheon,phutcheon1@telegraph.co.uk,Senior Business Analyst,Markham,Canada
Cherey,Possell,cpossell2@github.io,Econometrician,Wabana,Canada
Gretal,Dirkin,gdirkin3@latimes.com,Streaming Data Specialist,Dieppe,Canada
Zedekiah,Daveren,zdaveren4@eventbrite.com,Real-time Data Analyst,Walnut Grove,Canada
Giuseppe,Baudinot,gbaudinot5@nydailynews.com,E-commerce Data Analyst,London,United States
Ethe,Hanbridge,ehanbridge6@naver.com,Process Analyst,Vancouver,United States
Cary,Trevaskis,ctrevaskis7@photobucket.com,Recommender System Specialist,Shawnee Mission,United States
Pincas,Arrighini,parrighini8@51.la,Senior BI Analyst,Salinas,United States
Gayleen,Vittle,gvittle9@ed.gov,Content Analyst,Ajax,Canada
Rocky,Crayton,rcraytona@eepurl.com,Neural Network Engineer,Rochester,United States
Ethe,Pruckner,eprucknerb@storify.com,Defense Data Analyst,San Antonio,United States
Gunilla,Packer,gpackerc@vk.com,Sentiment Analyst,Oakland,United States
Darrin,Nickels,dnickelsd@scientificamerican.com,Applied Researcher,Sterling,United States
Miles,Gransden,mgransdene@jimdo.com,MLOps Engineer,Conroe,United States
Griffie,Kettow,gkettowf@addtoany.com,Media Analyst,Boston,United States
,Bausmann,cbausmanng@so-net.ne.jp,Junior Machine Learning Engineer,Camrose,Canada
Cassandry,Casillis,ccasillish@reference.com,Senior Data Scientist,Chicago,United States
Aline,Ethridge,aethridgei@cnet.com,Bayesian Analyst,Staten Island,United States
Domenico,Gaitung,dgaitungj@vkontakte.ru,Data Science Project Manager,Oklahoma City,United States
Melany,Burgisi,mburgisik@paypal.com,Fashion Data Analyst,San Diego,United States
Sibella,Whitland,swhitlandl@about.me,AI Developer,Savannah,United States
Wadsworth,Josselson,wjosselsonm@pagesperso-orange.fr,Business Analyst,Orangeville,Canada
,Daniels,ldanielsn@yellowbook.com,Business Analyst,Tampa,United States
Suzette,Shurlock,sshurlocko@alexa.com,Senior Machine Learning Engineer,Anmore,Canada
Lambert,Killough,lkilloughp@webnode.com,Customer Behavior Analyst,Dalmeny,Canada
,Sangwin,wsangwinq@chronoengine.com,Financial Data Analyst,Newark,United States
Rab,Frankland,rfranklandr@youtu.be,NLP Model Trainer,Phoenix,United States
Ulla,Mar,umars@cam.ac.uk,Principal Data Scientist,Beausejour,Canada
Lorenzo,Stennet,lstennett@bloglovin.com,Data Consulting Team,Bouctouche,Canada
Johnathan,Olennikov,jolennikovu@artisteer.com,Econometrician,West Hartford,United States
Jennette,Rossbrooke,jrossbrookev@omniture.com,Fraud Detection Analyst,Springfield,United States
Lamond,Wainscot,lwainscotw@yale.edu,Real Estate Data Analyst,Jacksonville,United States
Daphna,Gaddie,dgaddiex@ebay.com,Social Media Data Analyst,Mississauga,Canada
Nancy,Klemke,nklemkey@mozilla.org,Data Wrangler,Sacramento,United States
Joya,Rosellini,jroselliniz@mediafire.com,BI Developer,Martensville,Canada
Breena,Lacelett,blacelett10@studiopress.com,Text Analytics Specialist,Little Rock,United States
Archie,Messent,amessent11@npr.org,HealthTech Data Analyst,Sainte-Thérèse,Canada
Grove,Avarne,gavarne12@unblog.fr,Data Science Educator,Baton Rouge,United States
Kate,Ruprecht,kruprecht13@narod.ru,Social Media Data Analyst,Toledo,United States
Amitie,Bloor,abloor14@gravatar.com,Econometrician,Wabana,Canada
Briana,Linton,blinton15@amazon.com,VP of Data Science,Biloxi,United States
Nolie,Sindle,nsindle16@twitter.com,A/B Testing Analyst,Denver,United States
Dorie,Rolance,drolance17@elegantthemes.com,Predictive Analytics Specialist,Lansing,United States
,Cornner,scornner18@tmall.com,NLP Engineer,Ladysmith,Canada
Yorgo,Corrado,ycorrado19@harvard.edu,Clinical Data Analyst,Grimshaw,Canada
Marv,Viel,mviel1a@bing.com,SEO Data Analyst,Roanoke,United States
Kary,MacAscaidh,kmacascaidh1b@businessweek.com,Head of Business Intelligence,Fresno,United States
Silvia,Drohun,sdrohun1c@lycos.com,Manager,Beaverlodge,Canada
Edouard,Burdfield,eburdfield1d@de.vu,Machine Learning Engineer,Jacksonville,United States
,Kisting,dkisting1e@tmall.com,Data Quality Intern,Saint Louis,United States
Annadiane,Stelfax,astelfax1f@parallels.com,Decision Scientist,Saint Joseph,United States
Fawnia,Rolinson,frolinson1g@lulu.com,Director of Data Analytics,Jasper Park Lodge,Canada
