FirstName,LastName,Email,Account_Name,Plan_Type
Marcus,Reed,marcus.reed@auroralogistics.com,Aurora Logistics,Enterprise
Priya,Shah,priya.shah@auroralogistics.com,Aurora Logistics,Enterprise
Daniel,Cho,daniel.cho@auroralogistics.com,Aurora Logistics,Enterprise
Hannah,Boucher,hannah.boucher@beaconhealth.ca,Beacon Health Group,Premium
Owen,Tremblay,owen.tremblay@beaconhealth.ca,Beacon Health Group,Premium
Sofia,Marin,sofia.marin@cobaltretail.com,Cobalt Retail Co,Premium
Ethan,Brooks,ethan.brooks@cobaltretail.com,Cobalt Retail Co,Premium
Lily,Nguyen,lily.nguyen@cobaltretail.com,Cobalt Retail Co,Premium
Jordan,Hayes,jordan.hayes@cobaltretail.com,Cobalt Retail Co,Premium
Maya,Lefebvre,maya.lefebvre@driftwoodstudios.ca,Driftwood Studios,Basic
Caleb,Singh,caleb.singh@driftwoodstudios.ca,Driftwood Studios,Basic
Ava,Romano,ava.romano@driftwoodstudios.ca,Driftwood Studios,Basic
Noah,Patel,noah.patel@driftwoodstudios.ca,Driftwood Studios,Basic
Zoe,Clarke,zoe.clarke@driftwoodstudios.ca,Driftwood Studios,Basic
Grace,Miller,grace.miller@evergreenfoods.com,Evergreen Foods,Enterprise
Liam,Foster,liam.foster@evergreenfoods.com,Evergreen Foods,Enterprise
